,DrugA,DrugB
155,Tranylcypromine,Exenatide
156,Acenocoumarol,Ticagrelor
157,Ticlopidine,Sulodexide
158,Tadalafil,Hydrochlorothiazide
159,Fludrocortisone,Saxagliptin
160,Fluconazole,Omeprazole
161,Imatinib,Tesmilifene
162,Primidone,Buprenorphine
163,Itraconazole,Sonidegib
164,Anistreplase,Apixaban
165,Iloperidone,Sodium oxybate
166,Phenobarbital,Rilpivirine
167,Paroxetine,Ethotoin
168,Temsirolimus,Idelalisib
169,Chlorothiazide,Glyburide
170,Mycophenolate mofetil,Azidocillin
171,Amikacin,Cefdinir
172,Fondaparinux,Floctafenine
173,Methylphenidate,Haloperidol
174,Tranylcypromine,Diethylpropion
175,Cabazitaxel,Ceritinib
176,Warfarin,Dabigatran etexilate
177,Fluconazole,Clopidogrel
178,Diltiazem,Primidone
179,Digoxin,Tolmetin
180,Tacrolimus,Afatinib
181,Droperidol,Cimetropium
182,Remoxipride,Vilazodone
183,Hydromorphone,Isocarboxazid
184,Butorphanol,Azelastine
185,Tamsulosin,Cinacalcet
186,Pizotifen,Aclidinium
187,Natalizumab,Thiotepa
188,Triamcinolone,Insulin detemir
189,Interferon alfacon-1,Zidovudine
190,Triamterene,Moxonidine
191,Loxapine,Methotrimeprazine
192,Disopyramide,Fosaprepitant
193,Pentobarbital,Candesartan cilexetil
194,Itraconazole,Lacosamide
195,Treprostinil,Eplerenone
196,Calcitriol,Simeprevir
197,Paroxetine,Fexofenadine
198,Efavirenz,Fentanyl
199,Trimipramine,Cathinone
200,Ibritumomab tiuxetan,Sulindac
201,Dextroamphetamine,Molindone
202,Interferon alfacon-1,Metamizole
203,Flupentixol,Vortioxetine
204,Oxybutynin,Atazanavir
205,Nortriptyline,Sertindole
206,Framycetin,Cefprozil
207,Rifapentine,Linagliptin
208,Triamterene,Pentazocine
209,Amphetamine,Amitriptyline
210,Delavirdine,Vortioxetine
211,Phenmetrazine,Arformoterol
212,Promazine,Selegiline
213,Perindopril,Meloxicam
214,Bretylium,Ceritinib
215,Ethoxzolamide,Oxycodone
216,Nelfinavir,Fosphenytoin
217,Hydrocortisone,Vildagliptin
218,Thioridazine,Diphenhydramine
219,Paclitaxel,Tofacitinib
220,Trospium,Itopride
221,Mupirocin,Picosulfuric acid
222,Mechlorethamine,Roflumilast
223,Ketoprofen,Aliskiren
224,Bortezomib,Esomeprazole
225,Trandolapril,Obinutuzumab
226,Tiaprofenic acid,Deferasirox
227,Gemtuzumab ozogamicin,Tofacitinib
228,Chloroquine,Bisoprolol
229,Simvastatin,Siltuximab
230,Gliquidone,Insulin degludec
231,Apomorphine,Mifepristone
232,Valsartan,Heparin
233,Clozapine,Aripiprazole
234,Fluoxetine,Metyrosine
235,Mitoxantrone,Sipuleucel-T
236,Chlorphentermine,Olodaterol
237,Warfarin,Dronedarone
238,Gliclazide,Lopinavir
239,Rifapentine,Vilazodone
240,Indapamide,Colesevelam
241,Clarithromycin,Temsirolimus
242,Tadalafil,Tipranavir
243,Norepinephrine,Arformoterol
244,Ritonavir,Salmeterol
245,Piroxicam,Deoxycholic acid
246,Bosentan,Chloroquine
247,Itraconazole,Quetiapine
248,Baclofen,Stiripentol
249,Trichlormethiazide,Solifenacin
250,Thalidomide,Levocetirizine
251,Valsartan,Eprosartan
252,Tamoxifen,Bupropion
253,Terbinafine,Nebivolol
254,Verapamil,Fosamprenavir
255,Nabilone,Ethosuximide
256,Cyclobenzaprine,Abiraterone
257,Tenofovir disoproxil,Fenoprofen
258,Citalopram,Domperidone
259,Amoxapine,Paroxetine
260,Luliconazole,Eliglustat
261,Nelfinavir,Lacosamide
262,Ondansetron,Vortioxetine
263,Eluxadoline,Butylscopolamine
264,Atomoxetine,Tipranavir
265,Fenoprofen,Edetic acid
266,Prazosin,Epinephrine
267,Tocilizumab,Bosutinib
268,Buspirone,Rifampicin
269,Bosentan,Tasimelteon
270,Metolazone,Oxcarbazepine
271,Esomeprazole,Nilotinib
272,Caffeine,
273,Isocarboxazid,Eluxadoline
274,Reserpine,Moxonidine
275,Fluvoxamine,Tasimelteon
276,Zonisamide,Fusidic acid
277,Doxorubicin,Stiripentol
278,Caffeine,Iobenguane
279,Meperidine,Zuclopenthixol
280,Calcium acetate,Nimodipine
281,Hydroxyzine,Hydrocodone
282,Lenalidomide,Vedolizumab
283,Magnesium sulfate,Oxazepam
284,Mercaptopurine,Roflumilast
285,Fluoxetine,Tedizolid phosphate
286,Desmopressin,Hydrocortisone
287,Baclofen,Trimipramine
288,Ethoxzolamide,Butorphanol
289,Nortriptyline,Magnesium sulfate
290,Conivaptan,Atazanavir
291,Dasatinib,Dabrafenib
292,Probenecid,Norfloxacin
293,Mitotane,Felodipine
294,Midazolam,Ketoconazole
295,Deferasirox,Ospemifene
296,Ropinirole,Flurazepam
297,Temazepam,Methadone
298,Insulin lispro,Bromocriptine
299,Dasatinib,Sodium bicarbonate
300,Phenytoin,Darunavir
301,Vincristine,Carbamazepine
302,Flutamide,Choline C 11
303,Nelfinavir,Vinorelbine
304,Theophylline,Chlormezanone
305,Phenytoin,Tasimelteon
306,Digoxin,Potassium Iodide
307,Fluphenazine,Rivastigmine
308,Escitalopram,Sulodexide
309,Fosphenytoin,Prenylamine
310,Kanamycin,Pivampicillin
311,Vincristine,Stiripentol
312,Zolpidem,Clorazepic acid
313,Tocilizumab,Pomalidomide
314,Venlafaxine,Fluspirilene
315,Nortriptyline,Iobenguane
316,Alprazolam,Azelastine
317,Flunarizine,Magnesium hydroxide
318,Entacapone,Paroxetine
319,Phenprocoumon,Cangrelor
320,Panobinostat,Siltuximab
321,Everolimus,Daclatasvir
322,Mexiletine,Ramelteon
323,Dutasteride,Darunavir
324,Dexmedetomidine,Butobarbital
325,Pentobarbital,Metipranolol
326,Gliclazide,Arsenic trioxide
327,Insulin lispro,Brexpiprazole
328,Cyclosporine,Pazopanib
329,Loratadine,Itopride
330,Isoflurophate,Ergoloid mesylate
331,Alogliptin,Buserelin
332,Promethazine,Lumacaftor
333,Citalopram,Terbutaline
334,Felodipine,Magnesium chloride
335,Reteplase,Ethyl biscoumacetate
336,Prednisone,Hydrocodone
337,Phenindione,Omega-3-acid ethyl esters
338,Sorafenib,Cobicistat
339,Ritodrine,Acetylsalicylic acid
340,Candesartan cilexetil,Pentoxifylline
341,Dapsone,Sulfamethoxazole
342,Trastuzumab,Cisplatin
343,Nisoldipine,Phentolamine
344,Zoledronic acid,Gentamicin
345,Lercanidipine,Magnesium oxide
346,Sulfisoxazole,Nimodipine
347,Magnesium sulfate,Clonazepam
348,Mirtazapine,Brimonidine
349,Valsartan,Vardenafil
350,Tamoxifen,Ospemifene
351,Metronidazole,Acenocoumarol
352,Baclofen,Butorphanol
353,Topiramate,Zolpidem
354,Indomethacin,Framycetin
355,Loxapine,Benzphetamine
356,Tranylcypromine,Empagliflozin
357,Primidone,Nadolol
358,Chlorpromazine,Selegiline
359,Indinavir,Triazolam
360,Zafirlukast,Ceritinib
361,Morphine,Nadolol
362,Phenytoin,Carbamazepine
363,Phenprocoumon,Tiaprofenic acid
364,Sertraline,Citric acid
365,Acetylsalicylic acid,Insulin degludec
366,Nisoldipine,Boceprevir
367,Porfimer sodium,Cobimetinib
368,Oxycodone,Tedizolid phosphate
369,Nisoldipine,Enzalutamide
370,Citalopram,Mefloquine
371,Chlorpromazine,Desvenlafaxine
372,Brimonidine,Lurasidone
373,Verapamil,Tesmilifene
374,Tacrolimus,Glyburide
375,Lorazepam,Ropinirole
376,Sulpiride,Sertraline
377,Ritonavir,
378,Rabeprazole,Dabigatran etexilate
379,Clozapine,Trazodone
380,Temazepam,Perampanel
381,Lucinactant,Ceritinib
382,Tesmilifene,Dabigatran etexilate
383,Vincristine,Dexamethasone
384,Pioglitazone,
385,Abciximab,Tipranavir
386,Fludrocortisone,Sparfloxacin
387,Doxylamine,Nitrous oxide
388,Metaraminol,Formoterol
389,Goserelin,Dofetilide
390,Hydromorphone,Brimonidine
391,Aldesleukin,Difluprednate
392,Mefenamic acid,Netilmicin
393,Vilazodone,Cobicistat
394,Tramadol,Protriptyline
395,Irbesartan,Yohimbine
396,Verapamil,Tizanidine
397,Haloperidol,Palbociclib
398,Doxepin,Chlorprothixene
399,Primidone,Captopril
400,Itraconazole,Rilpivirine
401,Clozapine,Acetohexamide
402,Tobramycin,Bumetanide
403,Bexarotene,Saxagliptin
404,Cabergoline,Levonordefrin
405,Bosentan,Gemfibrozil
406,Tranylcypromine,Betahistine
407,Phentermine,Morphine
408,Primidone,Tolvaptan
409,Tranylcypromine,Trifluoperazine
410,Labetalol,Levonordefrin
411,Butabarbital,Amrinone
412,Apomorphine,Ondansetron
413,Pentobarbital,Mannitol
414,Fluconazole,Nisoldipine
415,Potassium chloride,Fexofenadine
416,Doxylamine,Cyproheptadine
417,Edetic acid,Prasugrel
418,Demeclocycline,Strontium ranelate
419,Glyburide,Diazoxide
420,Nilotinib,Palbociclib
421,Phenelzine,Isocarboxazid
422,Moclobemide,Dapoxetine
423,Hydroxyzine,Potassium chloride
424,Metronidazole,Carbocisteine
425,Labetalol,Primidone
426,Atenolol,Heptabarbital
427,Cyclosporine,Ascorbic acid
428,Botulinum toxin type A,Arbekacin
429,Furosemide,Alfentanil
430,Rifapentine,Ixabepilone
431,Ixabepilone,Ceritinib
432,Leuprolide,Tolbutamide
433,Primidone,Ponatinib
434,Dicoumarol,Gemfibrozil
435,Anistreplase,Vortioxetine
436,Adalimumab,Pimecrolimus
437,Dihydroergotamine,Remoxipride
438,Meperidine,Ethanol
439,Cisapride,Idelalisib
440,Doxylamine,Potassium chloride
441,Itraconazole,Ponatinib
442,Amisulpride,Tedizolid phosphate
443,Fluvastatin,Amiodarone
444,Primidone,Etacrynic acid
445,Aminophylline,Doxofylline
446,Droperidol,Brexpiprazole
447,Silodosin,Tocilizumab
448,Pramlintide,Tiotropium
449,Ipratropium,Propantheline
450,Methadone,Pramipexole
451,Zolpidem,Pimozide
452,Tenofovir disoproxil,Mefenamic acid
453,Lisinopril,
454,Quinidine,Netupitant
455,Tranylcypromine,Quetiapine
456,Isometheptene,Tedizolid phosphate
457,Nelfinavir,Flutamide
458,Vardenafil,Isosorbide dinitrate
459,Chlormezanone,Quinagolide
460,Bexarotene,Tamoxifen
461,Ziprasidone,Mifepristone
462,Ramelteon,Telaprevir
463,Nicardipine,Aprepitant
464,Valproic acid,Mefloquine
465,Atracurium besylate,Quinidine
466,Primidone,Artemether
467,Desogestrel,Batimastat
468,Mitotane,Estrone sulfate
469,Gliclazide,Metreleptin
470,Lidocaine,Levobunolol
471,Citalopram,Pentosan polysulfate
472,Desipramine,Propafenone
473,Cyclobenzaprine,Sertindole
474,Tiaprofenic acid,Ethyl biscoumacetate
475,Ergometrine,Stiripentol
476,Metoprolol,Nicardipine
477,Floxuridine,Warfarin
478,Pimecrolimus,Temsirolimus
479,Trimethoprim,Benazepril
480,Goserelin,Lopinavir
481,Potassium chloride,Methotrimeprazine
482,Alprazolam,Magnesium sulfate
483,Morphine,Doxylamine
484,Nelfinavir,
485,Efavirenz,Etravirine
486,Tadalafil,Captopril
487,Salbutamol,Mephentermine
488,Octreotide,Guanfacine
489,Bortezomib,Primaquine
490,Mirtazapine,Lamotrigine
491,Amyl Nitrite,Nitrous acid
492,Chlorotrianisene,Armodafinil
493,Ranitidine,Itraconazole
494,Fosinopril,Sodium bicarbonate
495,Alprazolam,Aminophylline
496,Trazodone,Sertindole
497,Boceprevir,Palbociclib
498,Alprazolam,Isoflurophate
499,Telithromycin,Everolimus
500,Clarithromycin,Brentuximab vedotin
501,Saquinavir,Sunitinib
502,Ibrutinib,Stiripentol
503,Betaxolol,Nicorandil
504,Metformin,Phenelzine
505,Chlorzoxazone,Paroxetine
506,Iloperidone,Paraldehyde
507,Ropinirole,Ciprofloxacin
508,Ritonavir,Alfentanil
509,Trifluoperazine,Cathinone
510,Tiagabine,Dabrafenib
511,Zonisamide,Siltuximab
512,Ramipril,Vardenafil
513,Rifabutin,Ceritinib
514,Darunavir,Cabazitaxel
515,Tizanidine,Gemfibrozil
516,Chlordiazepoxide,Eluxadoline
517,Pentoxifylline,Hydrochlorothiazide
518,Atorvastatin,Deferasirox
519,Olanzapine,Nabilone
520,Codeine,Cinacalcet
521,Fosaprepitant,Naloxegol
522,Nimodipine,Fosamprenavir
523,Dicoumarol,Doxepin
524,Botulinum Toxin Type B,Botulinum toxin type A
525,Ethinylestradiol,Ethyl biscoumacetate
526,Etodolac,Deferasirox
527,Tamoxifen,Thioridazine
528,Brimonidine,Tapentadol
529,Granisetron,Doxepin
530,Ethanol,Amantadine
531,Diclofenac,Gentamicin
532,Conivaptan,Pimozide
533,St. John's Wort,Dronedarone
534,Indinavir,Estazolam
535,Acetylsalicylic acid,Escitalopram
536,Infliximab,Trastuzumab
537,Ketorolac,Fludrocortisone
538,Trimethobenzamide,Aclidinium
539,Desogestrel,Sulodexide
540,Eltrombopag,Magnesium citrate
541,Vancomycin,Floctafenine
542,Fondaparinux,Edoxaban
543,Butorphanol,Paraldehyde
544,Lomustine,Aripiprazole
545,Hydrocortisone,Colesevelam
546,Nilotinib,Ivabradine
547,Colistin,Neomycin
548,Potassium chloride,Cyclopentolate
549,Perindopril,Acetylsalicylic acid
550,Indomethacin,Sparfloxacin
551,Botulinum toxin type A,Fluphenazine
552,Fluvastatin,
553,Tacrine,Carbinoxamine
554,Galantamine,Acetophenazine
555,Olanzapine,Rasagiline
556,Levomilnacipran,Tedizolid phosphate
557,Procyclidine,Methotrimeprazine
558,Hydrocodone,Eslicarbazepine acetate
559,Fluconazole,Fesoterodine
560,Aldesleukin,Valsartan
561,Diltiazem,Flibanserin
562,Amitriptyline,Glipizide
563,Pimecrolimus,Cabazitaxel
564,Mefloquine,Mitotane
565,Warfarin,Oxacillin
566,Fluoxetine,Chlorpromazine
567,Haloperidol,Ketoprofen
568,Spectinomycin,Oxaprozin
569,Bendroflumethiazide,Saquinavir
570,Nitroprusside,Pentoxifylline
571,Lorazepam,Azelastine
572,Nadolol,Levodopa
573,Indomethacin,Eplerenone
574,Saxagliptin,Insulin degludec
575,Clopidogrel,Nitrendipine
576,Tobramycin,Clavulanic acid
577,Cyclosporine,Butobarbital
578,Chlorpromazine,Desipramine
579,Methylphenidate,Warfarin
580,Pentosan polysulfate,Clopidogrel
581,Colistimethate,Kanamycin
582,Orciprenaline,Iobenguane
583,Telithromycin,Naloxegol
584,Theophylline,Formoterol
585,Losartan,Lithium cation
586,Mexiletine,Trifluoperazine
587,Bupropion,Clomipramine
588,Droperidol,Oxymorphone
589,Clarithromycin,Boceprevir
590,Brimonidine,Ethotoin
591,Simeprevir,Idelalisib
592,Etonogestrel,Lumacaftor
593,Dofetilide,Citalopram
594,Fusidic acid,Axitinib
595,Conivaptan,Vilazodone
596,Aripiprazole,Ticagrelor
597,Bendroflumethiazide,Dexketoprofen
598,Delavirdine,Etravirine
599,Tositumomab,Diflunisal
600,Norepinephrine,Phenylephrine
601,Ropinirole,Pipotiazine
602,Warfarin,Vorinostat
603,Streptokinase,Escitalopram
604,Ramelteon,Rifampicin
605,Risedronic acid,Ribostamycin
606,Mephentermine,Racepinephrine
607,Fluconazole,Erlotinib
608,Alfuzosin,Trandolapril
609,Codeine,Spironolactone
610,Diltiazem,Moxonidine
611,Tolcapone,Orphenadrine
612,Esmolol,Methohexital
613,Chloroquine,Panobinostat
614,Bosentan,Clorazepic acid
615,Rituximab,Roflumilast
616,Botulinum Toxin Type B,Brompheniramine
617,Sulfisoxazole,Warfarin
618,Amoxapine,Iobenguane
619,Zafirlukast,Warfarin
620,Ziprasidone,Gliquidone
621,Saquinavir,Apixaban
622,Brimonidine,Nabilone
623,Torasemide,Framycetin
624,Temsirolimus,Stiripentol
625,Conivaptan,Zonisamide
626,Gabapentin,Minocycline
627,Dobutamine,Aminophylline
628,Venlafaxine,Benzquinamide
629,Dapsone,Palbociclib
630,Ritonavir,Trimipramine
631,Procyclidine,Cimetropium
632,Fluconazole,Telaprevir
633,Ropinirole,Felbamate
634,Mirtazapine,Clonidine
635,Cisplatin,Etacrynic acid
636,Rifabutin,Telithromycin
637,Flurazepam,Saquinavir
638,Rosiglitazone,Deferasirox
639,Fosphenytoin,Bromazepam
640,Hydrocodone,Desloratadine
641,Chlorpropamide,Darunavir
642,Quinapril,Amifostine
643,Progesterone,Pazopanib
644,Vardenafil,Penbutolol
645,Pramlintide,Stanolone
646,Amikacin,Colistimethate
647,Metyrosine,Flunarizine
648,Droperidol,Meclizine
649,Alosetron,Idelalisib
650,Tadalafil,Phenoxybenzamine
651,Sulpiride,Iloperidone
652,Diltiazem,Yohimbine
653,Abciximab,Glucosamine
654,Hydromorphone,Rufinamide
655,Itraconazole,Solifenacin
656,Doxylamine,Ethosuximide
657,Doxepin,Rufinamide
658,Dyphylline,Bromazepam
659,Fluphenazine,Paroxetine
660,Ivacaftor,Ceritinib
661,Amlodipine,Verapamil
662,Bevacizumab,Clozapine
663,Felbamate,Idelalisib
664,Ibrutinib,Desirudin
665,Phenytoin,Atazanavir
666,Nicardipine,Magnesium chloride
667,Cyclosporine,Mitoxantrone
668,Acebutolol,Levodopa
669,Eptifibatide,Omega-3 fatty acids
670,Iron Dextran,Ofloxacin
671,Rifaximin,Abiraterone
672,Pegvisomant,Fentanyl
673,Rifabutin,Brexpiprazole
674,Oxycodone,Butorphanol
675,Cobimetinib,Tocilizumab
676,Fludarabine,Roflumilast
677,Toremifene,Voriconazole
678,Dronedarone,Netupitant
679,Procyclidine,Amoxapine
680,Citric acid,Nintedanib
681,Treprostinil,Enalaprilat
682,Norethisterone,Flibanserin
683,Methadone,Aprepitant
684,Irinotecan,Pazopanib
685,Bexarotene,Lurasidone
686,Paroxetine,Thiothixene
687,Zolpidem,Oxymorphone
688,Metoprolol,Regorafenib
689,Citalopram,Mesoridazine
690,Imatinib,Itraconazole
691,Porfimer sodium,Tretinoin
692,Lercanidipine,Phenobarbital
693,Dantrolene,Dasatinib
694,Nelfinavir,Benzphetamine
695,Nelfinavir,Tasimelteon
696,Imatinib,Rifapentine
697,Treprostinil,Dalteparin
698,Streptokinase,Fluoxetine
699,Fluticasone propionate,Cimetropium
700,Clobazam,Thioridazine
701,Pamidronic acid,Meloxicam
702,Treprostinil,Propranolol
703,Bosentan,Tofacitinib
704,Bosentan,Trimipramine
705,Minocycline,Atazanavir
706,Phenytoin,Solifenacin
707,Simvastatin,Eltrombopag
708,Paricalcitol,Cobicistat
709,Pramipexole,Lamotrigine
710,Sunitinib,Roflumilast
711,Citalopram,Maprotiline
712,Olanzapine,Gliclazide
713,Norfloxacin,Picosulfuric acid
714,Butabarbital,Doxylamine
715,Galantamine,Tofacitinib
716,Pegvisomant,Albiglutide
717,Torasemide,Hexobarbital
718,Prazosin,Nebivolol
719,Tramadol,Fentanyl
720,Aripiprazole,Stiripentol
721,Sufentanil,Bretylium
722,Cisapride,Isoflurophate
723,Nelfinavir,Chloroquine
724,Secobarbital,Trimipramine
725,Methylphenidate,Prazosin
726,Procainamide,Amiodarone
727,Prochlorperazine,Promethazine
728,Tipranavir,Bepridil
729,Esmolol,Dexmedetomidine
730,Mifepristone,Tofacitinib
731,Goserelin,Paroxetine
732,Ibritumomab tiuxetan,Dalteparin
733,Amitriptyline,Mefenamic acid
734,Atomoxetine,Phendimetrazine
735,Efavirenz,Warfarin
736,Spectinomycin,Tiludronic acid
737,Fosphenytoin,Lurasidone
738,Topiramate,Loratadine
739,Butalbital,Terbutaline
740,Pravastatin,Itraconazole
741,Ethynodiol diacetate,Canagliflozin
742,Cevimeline,Tacrine
743,Lorazepam,Ziconotide
744,Botulinum Toxin Type B,Amitriptyline
745,Clorazepic acid,Ethanol
746,Metoclopramide,Isocarboxazid
747,Prednisolone,Repaglinide
748,Bretylium,Nadolol
749,Nisoldipine,Rifabutin
750,Nelfinavir,Mitotane
751,Aprepitant,Fentanyl
752,Reserpine,Desvenlafaxine
753,Triamcinolone,
754,Sumatriptan,Pimozide
755,Tranylcypromine,Almotriptan
756,Meloxicam,Ceritinib
757,Erythromycin,Vardenafil
758,Orphenadrine,Gabapentin enacarbil
759,Carbamazepine,Etravirine
760,Dofetilide,Triamterene
761,Phenmetrazine,Racepinephrine
762,Etacrynic acid,Acetylsalicylic acid
763,Droperidol,Metaxalone
764,Fluphenazine,Promethazine
765,Tenecteplase,Paroxetine
766,Posaconazole,Rilpivirine
767,Tacrine,Mepenzolate
768,Caffeine,Methoxamine
769,Olanzapine,Cathinone
770,Brimonidine,Guanfacine
771,Trifluoperazine,Deferasirox
772,Amitriptyline,Salmeterol
773,Tositumomab,Levomilnacipran
774,Oxycodone,Tranylcypromine
775,Treprostinil,Acetylsalicylic acid
776,Mephentermine,Pheniramine
777,Dantrolene,Bepridil
778,Methsuximide,Rotigotine
779,Axitinib,Fosaprepitant
780,Dyphylline,Formoterol
781,Hydromorphone,Rotigotine
782,Atazanavir,Siltuximab
783,Leuprolide,Pentamidine
784,Imatinib,Cobicistat
785,Lorazepam,Chlorpromazine
786,Fluvoxamine,Alprazolam
787,Ziprasidone,Selegiline
788,Caffeine,Talniflumate
789,Methotrexate,Nafcillin
790,Desmopressin,Diflunisal
791,Calcitriol,Dabrafenib
792,Methoxamine,Dextroamphetamine
793,Dutasteride,Boceprevir
794,Dimenhydrinate,Mirabegron
795,Imipramine,Acetophenazine
796,Natalizumab,Streptozocin
797,Linezolid,Salmeterol
798,Vardenafil,Ceritinib
799,Rocuronium,Streptomycin
800,Dexamethasone,Fosamprenavir
801,Pimozide,Itraconazole
802,Midodrine,Aminophylline
803,Voriconazole,Ruxolitinib
804,Tolbutamide,Triptorelin
805,Prazosin,Methohexital
806,Tramadol,Perphenazine
807,Urokinase,Clopidogrel
808,Glimepiride,Methotrimeprazine
809,Duloxetine,Nesiritide
810,Bortezomib,Teriflunomide
811,Valsartan,Dexmedetomidine
812,Glimepiride,Dexketoprofen
813,Nimodipine,Mitotane
814,Aprepitant,Trabectedin
815,Duloxetine,Clevidipine
816,Candesartan cilexetil,Tadalafil
817,Darunavir,Daclatasvir
818,Topiramate,Diclofenamide
819,Pimecrolimus,
820,Trimethoprim,Dabrafenib
821,Mirtazapine,Isocarboxazid
822,Chlorpromazine,Moclobemide
823,Zolpidem,Quazepam
824,Phenelzine,Mianserin
825,Sulfisoxazole,Nitrendipine
826,Zolpidem,Stiripentol
827,Hydroxyzine,Efavirenz
828,Treprostinil,Edoxaban
829,Amphetamine,Fencamfamin
830,Dasatinib,Avanafil
831,Octreotide,Ceritinib
